식당명,도로명주소,지번주소,식당위도,식당경도,,,,,,,,,,,,,,,,,,,,,,,
청춘당꽈배기 전주점,전라북도 전주시 덕진구 동부대로 1076,전라북도 전주시 덕진구 송천동2가 168-1,35.8700036,127.1295281,,,,,,,,,,,,,,,,,,,,,,,
미미마라,전라북도 전주시 완산구 풍남문2길 53 남부시장 2층 청년몰,전라북도 전주시 완산구 전동 303-181,35.8121611,127.1473519,,,,,,,,,,,,,,,,,,,,,,,
수타5900,전라북도 전주시 완산구 효자천변1길 26-13 (효자동1가),전라북도 전주시 완산구 효자동1가 667-1,35.7992191,127.114116,,,,,,,,,,,,,,,,,,,,,,,
왕뚜껑,전라북도 전주시 완산구 호암로 81,전라북도 전주시 완산구 효자동2가 1318-3,35.8086046,127.1035913,,,,,,,,,,,,,,,,,,,,,,,
꺼구리시장통닭 효자점,전라북도 전주시 완산구 홍산1길 7 1층,전라북도 전주시 완산구 효자동2가 1157-4,35.8143137,127.1077079,,,,,,,,,,,,,,,,,,,,,,,
춘천닭갈비비비리 전주대점,전라북도 전주시 완산구 후곡길 5-18,전라북도 전주시 완산구 효자동2가 1305-20,35.8091893,127.0949897,,,,,,,,,,,,,,,,,,,,,,,
땡초김밥,전라북도 전주시 완산구 홍산남로 62,전라북도 전주시 완산구 효자동2가 1155-7,35.8155535,127.1087755,,,,,,,,,,,,,,,,,,,,,,,
321베렌도 객사점,전라북도 전주시 완산구 전주객사3길 32-6,전라북도 전주시 완산구 고사동 428-3,35.8188552,127.1427247,,,,,,,,,,,,,,,,,,,,,,,
상무초밥 전주도청직영점,전라북도 전주시 완산구 홍산로 276,전라북도 전주시 완산구 효자동3가 1525-2,35.8182318,127.1064552,,,,,,,,,,,,,,,,,,,,,,,
청년다방 전주대점,전라북도 전주시 완산구 속거길 11-5 청년다방 전주대점,전라북도 전주시 완산구 효자동3가 1275-3,35.8154695,127.0883256,,,,,,,,,,,,,,,,,,,,,,,
삼삼가맥,전라북도 전주시 완산구 효자로 173 1층 삼삼가맥,전라북도 전주시 완산구 효자동3가 1699-5,35.8193687,127.1042327,,,,,,,,,,,,,,,,,,,,,,,
보리 먹은 한우,전라북도 전주시 덕진구 두간2길 3-4,전라북도 전주시 덕진구 송천동1가 808-7,35.8656857,127.1206652,,,,,,,,,,,,,,,,,,,,,,,
치킨과바람피자 효자점,전라북도 전주시 완산구 거마평로 222,전라북도 전주시 완산구 효자동1가 607-13,35.812036,127.1142922,,,,,,,,,,,,,,,,,,,,,,,
